protein_annotation	label
UPF0200 protein TCARB_1956	1
Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase	2
Phage major tail protein, phi13 family subfamily	2
Phage-related protein, HI1409 family	0
Nicotinamide phosphoribosyl transferase	2
FtsH protease activity modulator HflK	2
tRNA nucleotidyltransferase (CCA-adding enzyme)	2
NUMOD3 motif-containing protein	2
Toxin Doc	2
Putative cell wall hydrolase	2
Putative small protein A	2
phosphoribosyl pyrophosphate synthase-associated protein 2 isoform X2	2
LexA family repressor/S24 family protease	2
MedDCM-OCT-S30-C79-cds24	0
Phage head-tail adapter protein	2
Phage-associated homing endonuclease	2
DNA-dependent RNA polymerase/ phage-type	2
Putative ribose-phosphate pyrophosphokinase 2	2
HD family phosphohydrolase	2
Virulence factor	2
Chromodomain helicase DNA binding protein 1 like	2
Asparagine-rich protein, putative	1
Bacteriophage lambda head decoration protein D	2
Virus protein phiCh1-VP28	0
Gene Transfer Agent	0
GDSL-like protein Lipase/Acylhydrolase	2
kelch-like protein 23 isoform X2	2
N-acetyl-gamma-glutamyl-phosphate reductase	2
2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	2
GIY-YIG catalytic domain protein	2
G patch domain and KOW motifs [Danio rerio]	2
Dnap	2
Sodium/proton antiporter, CPA1 family	2
Flp pilus assembly protein secretin CpaC	2
Phage portal protein, hk97 family	2
Surface glycoprotein	2
Putative Exonuclease, phage-type	2
B protein	0
Integrase for prophage CP-933U	2
Methionine adenosyltransferase 2 subunit beta	2
Acetyltransferase domain protein	2
Putative IclR family transcriptional regulator	2
Mu-like prophage F protein	2
VCBS	0
Adenosylcobalamin-dependent ribonucleoside-diphosphate reductase	2
Lytic transglycosylase	2
Putative rna drb0094 family	2
Vertebrate gliacolin-like protein	2
Helicase ARIP4-like isoform X1	2
Putative LAGLIDADG homing endonuclease	2
Probable mannose-1-phosphate guanyltransferase	2
Ribose-phosphate pyrophosphokinase 2	2
PD-(D/E)XK nuclease family protein	2
Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases)	2
DNA topoisomerase 2, mitochondrial	2
Chaperonin 60B2	2
NhaP-type antiporter	2
Putative stage 0 sporulation protein J	2
Putative zinc knuckle	2
Flagellar rod assembly protein/muramidase FlgJ	2
DNA sulfur modification protein, putative	2
Methyl-accepting chemotaxis sensory transducer with cache sensor	2
Peptidoglycan hydrolase flgJ	2
peptide chain release factor PrfB2, chloroplastic isoform X1	2
77ORF016	0
Sugar nucleotide-binding protein	2
Putative low-complexity protein	1
Site-specific integrase	2
Unplaced genomic scaffold PAXINscaffold_31, whole genome shotgun sequence	0
P22 coat protein - gene protein 5	2
Uncharacterized N-acetyltransferase C18E5.08	2
Short-chain fatty acid transporter	2
ATP-grasp domain, R2K clade family 2	2
DNA packaging protein GP2	2
aGPT-Pplase2 domain-containing protein	2
Putative peptidoglycan-binding domain 1 protein	2
DNA recombination-mediator protein A, drpA	2
Beta-conglycinin, beta chain	2
Restriction endonuclease	2
N-acetylneuraminate epimerase 1 protein	2
6-pyruvoyl tetrahydropterin synthase family protein	2
DNA-binding transcriptional regulator, MarR family	2
Terminase large subunit, N-terminal region	2
Internalin-like protein	2
Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB	2
DUF1804 domain-containing protein	1
Nucleotidyl transferase domain protein	2
uncharacterized protein YJR142W isoform X2	0
GramPos_pilinD1 domain-containing protein	2
Polynucleotide adenylyltransferase PcnB	2
HTH-type transcriptional regulator KipR	2
Uncharacterized protein HI_1409	0
uncharacterized protein LOC113207749	0
Mycolic acid cyclopropane synthetase family protein	2
von Willebrand factor A domain-containing protein 8	2
Putative phage terminase large subunit-like protein	2
Gluconate kinase	2
Helix-turn-helix domain protein	2
Bifunctional oligoribonuclease/PAP phosphatase NrnA	2
Type I restriction enzyme EcoAI R protein	2
GatB/Yqey domain superfamily	2
HTH_ParB domain-containing protein	2
Putative PhoH-like protein PhoH2	2
Phage-related head-tail joining protein	2
probable helicase CHR10 isoform X3	2
Putative prophage MuSo1, transcriptional regulator, Cro/CI family	2
Gp58-like protein	0
collagen alpha-1(XXI) chain-like	2
BTB/POZ domain,DNA binding HTH domain, Psq-type,Homeobox domain-like,Winged helix-turn-helix DNA	2
O-acetyl-ADP-ribose deacetylase MACROD2 isoform X2	2
Dual specificity protein phosphatase	2
Prohibitin 2b	2
Amidase family protein	2
Ribonucleotide reductase large subunit	2
ribonucleoside-diphosphate reductase small subunit-like	2
P4H1 protein	2
Assimilatory nitrite reductase subunit-like protein	2
Peptide chain release factor 2 (RF-2)	2
Quinone oxidoreductase	2
Prophage MuSo2, major head subunit, putative	2
Prophage repressor protein	2
uncharacterized protein LOC116305654	0
Putative C1q domain containing protein MgC1q58	2
Putative chromodomain-helicase-DNA-binding protein 1-like	2
Blr2057 protein	0
KLHL18	2
Oxidoreductase	2
Probable integrase/recombinase	2
Preprotein translocase subunit SecY	2
ADP-ribose glycohydrolase AF_1521	2
DNA segregation ATPase FtsK/SpoIIIE S-DNA-T family	2
DNA-binding protein Roi	2
Cell wall lytic activity protein	2
ATP-dependent zinc metalloprotease FTSH 4 mitochondrial-like	2
Heteroyohimbine synthase THAS2	2
Putative metallophosphoesterase YhaO	2
PUA-like domain-containing protein	2
Peptidase S24/S26 domain protein	2
Irc3p	0
Exosporium leader peptide domain protein	2
Phage lysozyme 1/peptidoglycan recognition fusion protein	2
Tyrosine-protein phosphatase vhp-1	2
Yada domain-containing protein	2
YiaKLMNOPQRS operon repressor	2
Rhizoctonia solani AG1-IB WGS project CAOJ00000000 data, isolate 7/3/14, contig 16572	0
Uncharacterized phage-encoded protein-like protein	0
Phage morphogeneis protein	2
Putative Fels-1 prophage tail assembly protein	2
ERF superfamily protein	2
Putative ovule protein	2
SmpA/OmlA domain protein	2
CYFA0S26e01376g1_1	0
erlin-1-like isoform X1	2
SLAM family member 5 isoform X2	2
Putative cell surface protein	1
Putative prophage LambdaSo, host specificity protein J	2
DOMON domain-containing protein	2
Contactin associated protein 1-like protein	2
AAA-ATPase At1g43910	2
Type VI secretion system effector, Hcp1 family protein	2
ATPase, AAA-type, CDC48 protein	2
Hypothetical signaling protein	2
Putative 3'-5' exonuclease related to the exonuclease domain of PolB	2
FRG domain-containing protein	2
Glycoside hydrolase family 3	2
Mutator protein MutT	2
peptide chain release factor PrfB1, chloroplastic-like isoform X2	2
Peptidase M15-like protein	2
DNA adenine methyltransferase	2
Quaking_NLS domain-containing protein	2
Secreted protein containing Peptidase M23 domain protein	2
Putative diacetyl reductase [(R)-acetoin forming] 2	2
Phage endolysin	2
TAF domain-containing protein	2
Related to ADP-ribose 1''-phosphate phosphatase	2
GDP-6-deoxy-D-lyxo-4-hexulose reductase	2
Nudix hydrolase 20, chloroplastic	2
Unplaced genomic scaffold SPHSTscaffold_133, whole genome shotgun sequence	0
Type VI secretion system Vgr family protein	2
Chaperonin 60 subunit alpha 2, chloroplastic	2
N-acetylmuramoyl-L-alanine amidase	2
Phospholipid N-methyltransferase	2
Predicted HD superfamily hydrolase	2
Type III restriction enzyme res subunit	2
(P)ppGpp synthetase I, SpoT/RelA	2
6-phosphofructo-2-kinase-domain-containing protein	2
Large terminase protein	2
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	2
DNA packaging protein of prophage (Terminase large subunit)	2
4-hydroxybenzoate polyprenyltransferase, mitochondrial	2
Predicted phosphoesterase or phosphohydrolase	2
Adhesin yadA	2
Uncharacterized protein DUF955	1
Predicted chitinase	2
Highly reducing polyketide synthase gpy1	2
SAT1	2
Phage major capsid E family protein	2
RVP domain-containing protein	2
Biotin operon repressor	2
Polymerase III, delta'' subunit protein	2
Kelch like family member 32	2
Butyrophilin subfamily 1 member A1-like isoform X1	2
ANXA8 protein	2
Beta-lactamase domain-containing protein	2
Probable phage HK022 GP19-related protein	0
Trans-sialidase, putative	2
MS115 putative beta-agarase	2
Prok-JAB and NLPC P60 and Lambda tail I and Phage tail L and Phage min tail domain containing protein	2
Nucleoside-diphosphate sugar epimerase	2
Putative Acyl-homoserine lactone acylase PvdQ	2
5'-3' exonuclease (Including N-terminal domain of PolI)	2
Thymidine kinase 2, mitochondrial-like	2
RNA ligase/cyclic nucleotide phosphodiesterase family protein	2
Conjugal exonuclease V alpha subunit TraA	2
SNF2 N and Helicase C domain containing protein	2
DgyrCDS7900	0
Integrating conjugative element protein	2
Primase-polymerase (Primpol) domain-containing protein	2
Prophage pi2 protein	2
LvrA	2
Vitamin B12-dependent ribonucleoside-diphosphate reductase	2
Phage T4 tail fiber protein	2
(Uracil-5)-methyltransferase	2
D12 class N6 adenine-specific DNA methyltransferase superfamily	2
Bacterial type II/III secretion system protein	2
TRCF domain protein	2
Expressed protein	0
Arabinanase	2
aspartyl/asparaginyl beta-hydroxylase isoform X5	2
Glutathione synthetase	2
Bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon	2
Type IV pilus secretin PilQ family protein	2
uncharacterized protein LOC117654103	0
YetN	2
UDP-N-acetylglucosamine kinase	2
Chaperonin CPN60-like 2	2
Uncharacterized protein YoxC	0
Probable amidotransferase	2
TPR domain protein	2
Diguanylate cyclase (GGDEF) domain-containing protein	2
Conserved hypothetical phage tail region protein	2
signaling lymphocytic activation molecule isoform X2	2
Putative type I polyketide synthase	2
Glycine oxidase	2
O-acetyl-ADP-ribose deacetylase 1	2
Stringent starvation protein B-like protein	2
B box-type domain-containing protein	2
DNA-binding transcriptional regulator YdaS (Cro superfamily)	2
5'-deoxynucleotidase SCTVLC_2658	2
Putative phage baseplate protein	2
AraC-type DNA-binding domain-containing protein	2
tRNA-specific adenosine deaminase (Modular protein)	2
SleB-like protein	2
BNR repeat-containing glycosyl hydrolase	2
Marine proteobacterial sortase target protein	2
DNRLRE domain-containing protein	1
O-acetyl-ADP-ribose deacetylase MACROD1-like	2
Baseplate hub subunit	2
Putative GP46 protein	0
DNA damage-inducible protein (Modular protein)	2
DUF4041 domain-containing protein	1
Zmp:0000000619	0
Chaperone BCS1	2
N-acetylglutamate synthase, GNAT family	2
Putative polyketide synthase protein	2
Probable replicative DNA helicase	2
DUF3164 family protein	1
AraC family regulatory protein	2
tRNA-dihydrouridine synthase B	2
Mu-like prophage FluMu protein	0
HSP20 family	2
Holliday junction resolvase (Hjc)	2
Cox2	2
Eliminase	2
SepS25B protein	0
ABC transporter substrate-binding lipoprotein YvgL (Modular protein)	2
Glyco_hydro_42M domain-containing protein	2
Phage minor capsid 2 family protein	2
Phage minor structural protein, N-terminal domain protein	2
Nudix hydrolase 23, chloroplastic	2
Putative Phage anti-repressor protein	2
procollagen-lysine,2-oxoglutarate 5-dioxygenase 3-like	2
DNA topoisomerase (ATP-hydrolyzing) subunit B	2
SL9A3 protein	2
Intraflagellar transport protein 25	2
Histone_H2A_C domain-containing protein	2
Phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative	2
Phosphoinositide 3-kinase adapter protein 1	2
Non-ribosomal peptide synthetase modules	2
Amidophosphoribosyltransferase, amidophosphoribosyltransferase	2
Putative transposase/integrase	2
Transcription elongation factor SPT5	2
Flagellar-associated_PapD-like_-_putative	2
NAD-dependent epimerase/dehydratase family protein	2
PUTATIVE HEMAGGLUTININ-RELATED PROTEIN	2
Putative prophage PSSB64-02, tail length tape-measure protein	2
GNAT N-acetyltransferase	2
DNA polymerase I-like	2
AAA domain containing protein	2
O-methyltransferase	2
Tail length determinator	2
DNA gyrase/topoisomerase IV, A subunit	2
ADO2 protein	2
DUF2590 family protein	1
Gut Q protein	2
Protein of unassigned function	0
Putative Xre family DNA-binding protein	2
Ribonucleoside-triphosphate reductase	2
Putative long tail fiber protein	2
Gll3885 protein	0
Prophage antirepressor (Plasmid)	2
Threonine dehydrogenase-like Zn-dependent dehydrogenase	2
AraC-like protein	2
Phage tail sheath protein fi-like protein	2
Regulatory protein, LacI	2
Putative bacteriophage integrase	2
BRO family, N-terminal domain	2
Bacteriophage Mu I family protein	0
Putative prophage PSSB64-02, Orf47	0
DNA segregation ATPase FtsK/SpoIIIE-like protein	2
Protein phosphatase 2A A subunit (ISS)	2
Short chain dehydrogenase family protein	2
Tellurite resistance protein TerA	2
RNA polymerase sigma-E factor	2
Stomatin like 2	2
CI family repressor	2
Fused protease/ribonucleoside-triphosphate reductase	2
Glycerophosphodiester phosphodiesterase	2
Kelch-like family member 2	2
Peptidylprolyl isomerase	2
Putative outer membrane repeat protein	2
LINOCIN M18	1
Uncharacterized protein C20orf72	0
uncharacterized protein LOC111285158 isoform X1	0
DNA helicase DnaB	2
Uncharacterized protein YqbE	0
Mu-like prophage FluMu protein gp28-like protein	0
Putative ribonuclease H protein	2
DNA helicase B isoform X2	2
Putative Phosphopantothenate--cysteine ligase	2
YLP motif-containing protein 1-like isoform X2	2
Deoxypyrimidine-specific 5' nucleotidase type C protein (NT5C)	2
Origin specific replication initiation factor	2
LysR substrate binding domain-containing protein	2
Tip elongation aberrant 1-like protein	2
Lasso peptide isopeptide bond-forming cyclase	2
Putative phage tail protein	2
Protein, SNF2 family	2
8-demethylnovobiocic acid C(8)-methyltransferase	2
DUF4983 domain-containing protein	1
Phage tail sheath protein	2
Prokaryotic homologs of the JAB domain	2
Biotin carboxylase	2
Nitrile-specifier protein 5	2
Pre-B-cell colony-enhancing factor-like protein	2
YceE	0
F264	0
Orf245	0
Vegetative incompatibility protein HET-E-1	2
CO6A3	0
kelch repeat and BTB domain-containing protein 7-like	2
Protein LvrA	2
OMPdecase	2
Putative phage head-tail adaptor	2
Uncharacterized HTH-type transcriptional regulator CBU_1416	2
L-methionine sulfoximine/L-methionine sulfone acetyltransferase	2
uncharacterized protein LOC116300872	0
USPA2H	2
Chromosome undetermined SCAF10748, whole genome shotgun sequence	0
Putative kelch motif family protein	2
Tail fiber domain-containing protein	2
PF11985 family protein	1
Protease subunit of atp-dependent clp protease	2
3'-5' exonuclease domain-containing protein	2
Sodium/hydrogen exchanger NHE2	2
Putative bacteriophage protein GP46(Fragment)	0
DNA polymerase III alpha subunit (Gram-positive type)	2
uncharacterized protein LOC104607806 isoform X3	0
ATP synthase protein MI25	2
Cell-adhesion protein	2
Phosphopantothenate--cysteine ligase	2
Probable lipase/esterase	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like 1	2
VIT-domain-containing protein	2
PRFB1 protein	2
Phage terminase-like protein, large subunit, contains N-terminal HTH domain	2
Syntaxin-binding protein 4	2
SsDNA-binding Zn-finger/Zn-ribbon topoisomerase 1	2
dTDP-L-rhamnose 4-epimerase	2
Sodium/hydrogen exchanger 7	2
Proline dehydrogenase	2
Peptidase, M23B family	2
Kelch repeat and BTB domain-containing protein 2-like	2
dUTP diphosphatase Dut, putative	2
DnaJ subfamily B member 13	2
DDE_Tnp_1 domain-containing protein	2
NPK1-related protein kinase	2
Ribonuclease R winged-helix domain-containing protein	2
Prepilin-type cleavage/methylation domain-containing protein	2
Protein CHROMATIN REMODELING 20	2
Flap endonuclease Xni	2
ASPHD2 protein	2
Head morphogenesis protein SPP1 gp7	2
Gamma-glutamyl-aminobutyrate hydrolase PuuD	2
GroL1 protein	2
Transcription factor Sp4	2
Similar to aspartate beta-hydroxylase isoform a	2
DprA/Smf-like protein	2
Putative phage repressor protein CI	2
Asparagine synthetase glutamine-hydrolyzing	2
Enterobacterial exodeoxyribonuclease VIII	2
PGF-pre-PGF domain-containing protein	2
dCMP deaminase (EC)	2
Bm4944, isoform a	2
Transcriptional regulator kdgR	2
Alkyl sulfatase BDS1-like metallo-beta-lactamase superfamily hydrolase	2
Bacteriophage, scaffolding protein	2
NADH:ubiquinone oxidoreductase subunit L	2
Putative benzyl alcohol dehydrogenase	2
MannoseP_isomer domain-containing protein	2
MarR family transcriptional regulator with acetyltransferase activity	2
Prophage PSPPH03, transcriptional regulator, LuxR family	2
Glycosyltransferase, family 11	2
ATP-dependent exoDNAse alpha subunit	2
Arabinose 5-phosphate isomerase KpsF	2
SIS domain protein	2
Putative gag-pol polyprotein	2
Fibronectin type III protein	2
Acetyltransferase	2
Acyl-CoA thioesterase 1	2
DNA polymerase III PolC	2
Exonuclease rnase t and dna polymerase iii	2
Molecular chaperones (DnaJ family)	2
Cell wall/surface repeat-containing protein	1
DUF1902 domain-containing protein	1
Tellurite resistance domain protein	2
Putative surface protein	1
Eaa prophage protein	0
Citrate-binding protein	2
DnaJ-class molecular chaperone CbpA	2
Sterol-4-alpha-carboxylate 3-dehydrogenase	2
RNA/single-stranded DNA exonuclease	2
Smg protein	2
Protein YdcL	2
Flagellin and related hook-associated protein	2
Highly reducing polyketide synthase	2
Putative kelch-like protein 12	2
T-complex protein 1 subunit zeta-2 isoform X4	2
Phage tail fiber protein H	2
Uncharacterized protein DUF2272	1
NB-ARC domain containing protein expressed	2
uncharacterized protein LOC113791557	0
Putative peptidoglycan binding domain 1	2
Kelch-like protein 26 isoform A	2
Putative zinc finger CHC2-family protein	2
Glutamine amidotransferase	2
Putative tail lysozyme	2
Glutamine--fructose-6-phosphate aminotransferase (Isomerizing)	2
GNAT-family acetyltransferase (TIGR03103 family)	2
Putative phage protein Rz	2
BRO family, N-terminal domain protein	2
gigaxonin isoform X3	2
PF03681 family protein	1
Putative translation releasing factor2	2
Estrogen-related receptor gamma	2
CDAC1 protein	2
AIG2 Family Protein	2
DnaB domain-containing protein helicase domain-containing protein	2
peptide chain release factor PrfB1, chloroplastic isoform X2	2
YadA-like family protein	2
Putative HTH-type transcriptional regulator	2
Collagen triple helix repeat protein (20 copies)	2
DNA polymerase family A	2
GH15113	0
XkdG	2
Phage terminase, small subunit, putative, P27	2
Pilus assembly protein FimT	2
26S proteasome regulatory subunit 7	2
SLAM family member 9-like isoform X1	2
T6SS_Vgr domain-containing protein	2
Dna polymerase a family protein	2
Reductase	2
Receptor-type tyrosine-protein phosphatase eta	2
Prophage antirepressor domain protein	2
Fibro-slime domain-containing protein	2
BACK domain-containing protein	2
SNF2 family N-domain-containing protein	2
TOP2A topoisomerase	2
Ig-like_bact domain-containing protein	2
Phage Head-Tail Attachment	2
Uridine diphosphate glucose pyrophosphatase NUDT22	2
Toxin-antitoxin system, HicB family	2
Uncharacterized protein DUF2190	1
D-alanyl-D-alanine carboxypeptidase family protein	2
Nitric oxide reductase NorQ protein	2
Putative conserved NADP-binding domain-containing protein	2
IPP	2
Bifunctional S24 family peptidase / transcriptional regulator	2
ATPases of the AAA+ class	2
Thioredoxin M-type, chloroplastic	2
MazG family protein	2
GIY-YIG/LAGLIDADG endonuclease	2
T3/T7 RNA polymerase	2
Helicase C-terminal domain protein	2
Nicotinate-nucleotide pyrophosphorylase	2
Large terminase subunit	2
Toxin-antitoxin system, toxin component, Fic family	2
Macro domain-containing protein lp_3408	2
Protein kinase family protein	2
UvrD-helicase domain-containing protein	2
Phage-related prohead protease	2
Phage side tail fiber protein	2
Putative plasmid partitioning protein ParB	2
Thioredoxin O1, mitochondrial	2
DNA polymerase III subunit	2
Putative mitochondrial ATP-dependent helicase irc3	2
Type-1 restriction enzyme R protein	2
ATP-dependent DNA helicase RecG	2
Putative endopeptidase (Protein gp15)	2
P2 family phage major capsid protein	2
TIGR04338 family metallohydrolase	2
D-glucuronyl c5-epimerase	2
DUF4055 domain-containing protein	1
Prophage tail fiber assembly protein homolog TfaE	2
DnaJ-like protein subfamily B member 6-A	2
Putative nuclear receptor 2c2 associated protein	2
probable peptide chain release factor C12orf65 homolog, mitochondrial	2
Integrin-associated protein	2
Influenza virus NS1A-binding homolog	2
Putative peptidase, S24-like	2
5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein	2
5'-deoxynucleotidase YfbR-like HD superfamily hydrolase	2
Protein containing C-5 cytosine-specific DNA methylase	2
Carboxypeptidase-like regulatory domain-containing protein	2
Phage P4-associated integrase	2
Phage terminase, large subunit, PBSX family	2
CLP protease regulatory subunit CLPX3, mitochondrial	2
Glucose-6-phosphate 3-dehydrogenase	2
Uncharacterized protein containing a von Willebrand factor type A (VWA) domain	2
Nudix hydrolase 15	2
Poly(ADP-ribose) polymerase family member 9	2
Anaerobic ribonucleoside-triphosphate reductase	2
Paraaminobenzoate synthase amidotransferase component EC 26185 CDS	2
collagen alpha-1(VII) chain	2
Deaminase reductase	2
Acetyltransferase GNAT family	2
Probable thermophilic glucose-6-phosphate isomerase and related metalloenzymes	2
AAA_5 domain-containing protein	2
Aspartate beta-hydroxylase domain-containing 1	2
Single-stranded DNA-binding protein 2	2
Diguanylate cyclase (GGDEF) domain protein	2
NUDIX hydrolase, MutT family	2
DNA (Cytosine-5)-methyltransferase 3B-like	2
FtsK-like protein	2
Unplaced genomic scaffold SPHSTscaffold_416, whole genome shotgun sequence	0
Erlin-2	2
Baseplate J/gp47 family protein	2
Phage virion morphoproteinis protein	2
Acyl-CoA thioesterase	2
Serine/threonine protein kinase PrkC, regulator of stationary phase	2
Nudix-type nucleoside diphosphatase (YffH/AdpP family)	2
Phage protein Gp46	0
BTB/POZ domain-containing protein kctd3	2
Mu Lambda phage repressor-like DNA binding protein	2
Superfamily II DNA or RNA helicase	2
Double-stranded uracil-DNA glycosylase	2
cDNA FLJ52974, highly similar to Neural cell adhesion molecule 1, 140 kDa isoform	2
Putative cell surface glycoprotein	2
Pectin degradation repressor protein KdgR	2
Protein phosphatase	2
Protein containing DUF1064	1
Sarcosine oxidase delta subunit	2
LPS biosynthesis protein WbpP	2
Cell cycle checkpoint control protein RAD9B-like	2
Tat pathway signal sequence domain protein	2
Predicted double-stranded RNA/RNA-DNA hybrid binding protein	2
kelch domain-containing protein 1-like	2
Clpp/crotonase-like domain	2
uncharacterized protein LOC108824702	0
Cytochrome oxidase subunit II	2
Putative metallopeptidase	2
AP2/ERF domain-containing protein	2
16.9 kDa class I heat shock protein 2	2
DNA replication protein DnaC, putative	2
NTTRR-F1 domain	2
Phage control protein (GPD)	2
Glycogen debranching protein	2
Putative DNA primase	2
Ribonuclease h protein	2
Peptide chain release factor PrfB1, chloroplastic	2
Type II secretion system secretin GspD	2
YPR024Wp-like protein	0
Conserved Uncharacterized	0
Methyltransferase type 12	2
Phage DNA-binding protein Ner	2
Head morphoproteinis protein SPP1 gp7	2
Rubredoxin-NAD(+) reductase	2
CbbQ	2
Alginate O-acetylation protein AlgJ	2
Putative serine/threonine protein phosphatase	2
GRANULINS domain-containing protein	2
Predicted 2-oxoglutarate-and Fe(II)-dependent dioxygenase YbiX	2
Acyl-CoA thioesterase-1	2
Uncharacterized protein P8A3.02c	0
Chaperone (AssE2)	2
General secretion pathway protein GspH	2
Prophage terminase, small subunit	2
Mor transcription activator family	2
Pseudoephedrine dehydrogenase	2
Putative Phage replication protein	2
Apoptosis-inducing factor, C-term	2
Ribosylnicotinamide kinase	2
Assembly protein	2
Capsular Polysaccharide Biosynthesis Protein	2
rab9 effector protein with kelch motifs isoform X6	2
Si:ch211-253p14.2	0
Putative bifunctional dihydrofolate reductase-thymidylate synthase	2
Peptide chain release factor PrfB2	2
Phosphoribosylaminoimidazolesuccinocarboxamide synthase	2
Gp7	0
Mannose-1-phosphate guanylyltransferase 1	2
Glucose-fructose oxidoreductase	2
SprT protein	2
Putative GIY-YIG endonuclease	2
Molecular chaperone	2
Mannose-1-phosphate guanylyltransferase rfbM	2
Pyridine nucleotide-disulphide oxidoreductase	2
Phosphonoacetaldehyde hydrolase	2
Phospholipid-binding domain-containing protein	2
Phage P22-like portal protein	2
Phage tail fiber domain protein	2
Formylmethanofuran dehydrogenase subunit E	2
DNA repair ATPase	2
Protein export-enhancing protease (Spore outgrowth)	2
TRAP transporter solute receptor	2
Ion transporter permease	2
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 isoform X2	2
Putative transcription elongation factor SPT5 like protein	2
Putative Regulatory protein IclR	2
Putative phage late control gene D protein	2
DNA recombination and repair protein	2
Tail assembly protein	2
RNB domain-containing protein	2
Phage portal protein BeeE	2
DNA (Cytosine-5-)-methyltransferase	2
F-box/kelch-repeat protein At5g60570-like	2
Regulator of Chromosome Condensation (RCC1) repeat protein	2
KLH24	2
PVL ORF-50 family protein	0
Putative isomerase	2
Urea carboxylase	2
Interleukin 10 receptor, beta (Predicted)	2
Muscarinic acetylcholine receptor M4	2
Acyl-CoA binding protein 5	2
uncharacterized protein LOC108807682	0
HTH-type transcriptional regulator CynR	2
6-carboxy-5,6,7,8-tetrahydropterin synthase	2
Sulfotransferase domain-containing protein	2
Putative mu-like prophage Flumu protein gp28	2
calcium-activated chloride channel regulator 3A-1-like	2
RNase H domain-containing protein	2
tRNA (Cytosine(38)-C(5))-methyltransferase-like	2
uncharacterized protein LOC108838918	0
Rubisco activation protein CbbQ	2
Holliday junction resolvase hjc	2
Tubulin alpha-8 chain	2
Putative Asparagine synthetase (Glutamine-hydrolyzing) 1	2
Saccharopine dehydrogenase	2
Lipolytic enzyme G-D-S-L family	2
dTDP-fucosamine acetyltransferase	2
UvrABC complex, subunit B	2
GSH-S_ATP domain-containing protein	2
Chaperone protein DnaJ, putative	2
Putative acid phosphatase of HAD superfamily subfamily IIIB	2
Phage-associated protein-like protein	0
CI-like repressor, phage associated	2
Gp47 protein	0
Putative N-acetyltransferase YuaI	2
Putative hydrolase	2
Putative prophage PSSB64-02, Orf63	0
MaoC family protein	2
LamG domain protein jellyroll fold domain protein	2
HaeIIM protein	2
S23 ribosomal protein	2
DgyrCDS11747	0
ErfK/YbiS/YcfS/YnhG	2
Phage-like element PBSX protein XkdB	2
Phosphoesterase (MutT family)-like protein	2
Stomatin family protein	2
Highly reducing polyketide synthase ATEG_07659	2
Structural maintenance of chromosomes 4-like 1 protein isoform 3-like protein	2
Putative dna repair protein rad5 protein	2
SNF2-related protein	2
Domain of uncharacterized function (DUF3846)	1
Muramidase domain-containing protein	2
DNA (Cytosine-5)-methyltransferase 1	2
Mitochondrial ATP-dependent helicase irc3	2
Type IIs modification methyltransferase	2
Dna replication factor c subunit	2
host cell factor	2
Probable type II secretion system protein	2
Plasmid RP4 TraN-like protein	2
Endopeptidase LytF	2
Peptidase S26B, signal peptidase	2
PAB8 protein	2
R2K_2 domain-containing protein	2
Putative G-D-S-L family lipolytic protein	2
4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	2
ERCC6	2
Predicted permeases	2
Leucine-zipper-like transcriptional regulator	2
Glutaminyl-tRNA synthase b subunit	2
VCBS repeat-containing protein	2
GCN5 family acetyltransferase	2
Tail tape measure protein, putative	2
Component of 9-1-1 complex	2
Genome sequencing data, contig C292	0
Pro-head protease	2
NADPH quinone reductase	2
Outer membrane channel for pilus assembly CpaC	2
PSD1 domain-containing protein	2
Wall-associated protein	1
Glutathione synthase/ribosomal protein S6 d	2
Immunoglobulin-binding regulator A family protein	2
Vir region protein-like protein	0
Manganese and iron superoxide dismutase	2
Kelch-like 3	2
uncharacterized protein LOC115325222	0
Galactose oxidase/kelch, beta-propeller	2
YubD protein	2
Iota-carrageenase	2
DNA ligase I	2
Putative structural protein	2
Acetyltransferase, GNAT	2
Transmembrane protein 41-like protein	2
Carbamoyl-phosphate synthase large subunit	2
Sodium/hydrogen exchanger 7-like	2
DUF3599 domain-containing protein	1
Exodeoxyribonuclease V	2
Sporulation domain-containing protein	2
Tail fiber assembly protein	2
procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 isoform X1	2
KEL2 protein	2
Pectin lyase fold domain protein, virulence factor	2
SprT-like domain-containing protein	2
FOG: tpr repeat-protein	1
Matrin-type domain-containing protein	2
Transcription termination factor 2	2
Mot1 helicase-like protein	2
VRR-NUC domain-containing protein (Modular protein)	2
Rab9 effector protein with kelch motif	2
5'-3' exonuclease, SAM domain protein	2
Putative RepA leader peptide Tap	2
Kel	2
Purine nucleoside phosphorylase	2
Thrombospondin-related anonymous protein	2
