protein_annotation	regex_label	manual_label	note
protein mono-ADP-ribosyltransferase PARP14-like	proper		
Serine/threonine protein phosphatase 1	proper		
Putative cell-division protein	proper		
Phage-type endonuclease	proper		
Uncharacterized conserved small protein-like	proper		
B transposition protein domain protein	proper		
DnaJ like protein subfamily B member 4	proper		
MTE8-ECOLI homolog similar to methyltransferase	proper		
Uncharacterized protein DUF4054	low informative		
Peptidase S14 family protein	proper		
Rad51-like protein c	proper		
Ribonucleoside diphosphate reductase small subunit	proper		
Uncharacterized protein linocin/CFP29	proper		
Predicted metal-dependent phosphohydrolase, HD superfamily	proper		
uncharacterized protein LOC106169515	uninformative		
Conserved hypothetical phage protein Putative tail fiber assembly protein	proper		
Membrane carboxypeptidase	proper		
Putative LacI family transcriptional regulator	proper		
Putative Cytidine deaminase	proper		
ATP-dependent RNA helicase DHH1	proper		
Putative von Willebrand factor type A domain protein	proper		
Bifunctional (P)ppGpp synthase/hydrolase relA	proper		
Nitrous oxide reductase family maturation protein NosD	proper		
Meganuclease I-AabMI	proper		
Putative lysis protein	proper		
Terminase ATPase subunit family protein	proper		
Unplaced genomic scaffold K443scaffold_1, whole genome shotgun sequence	uninformative		
Plastid division protein ftsZ	proper		
15S Mg(2+)-ATPase p97 subunit	proper		
DNAse	proper		
Inhibitor of KinA sporulation pathway (Predicted exonuclease)	proper		
Phosphoesterase, DHHA1	proper		
DprA SMF protein putative DNA processing factor	proper		
Helicase-related protein	proper		
Two-component system LytT family response regulator	proper		
Transposase IS1001	proper		
E1_FCCH domain-containing protein	proper		
Putative galactose oxidase, beta-propeller	proper		
Probable N-terminal acetyltransferase complex subunit ARD1	proper		
Quercetin 2,3-dioxygenase	proper		
erlin-1 isoform X3	proper		
06904f2e-a1e4-4577-9271-a88f3d1bc2c5	proper		
Diphosphomevalonate decarboxylase	proper		
F5/8 type C domain protein	proper		
COP9 signalosome complex subunit 6	proper		
Portal protein SPP1	proper		
Phage regulatory protein, Rha	proper		
Centrosomal protein of 192 kDa	proper		
Prolyl 4-hydroxylase alpha subunit	proper		
Transglutaminase-like cysteine proteinase BTLCP	proper		
Aste57867_11010 protein	proper		
Terminase GpA	proper		
GDSL-like lipase/acylhydrolase, putative	proper		
ADP-ribose glycohydrolase OARD1 isoform X3	proper		
Recombinase RarA	proper		
Putative exonuclease VIII	proper		
AAA-ATPase At3g50940-like isoform X5	proper		
DMC1-like protein	proper		
Os07g0517600 protein	proper		
Polymerase III PolC-type protein	proper		
Probable Putative ribonucleoside-diphosphate reductase small chain B	proper		
HAD hydrolase family protein	proper		
T2SSC domain-containing protein	proper		
Probable serine/threonine specific protein phosphatase protein	proper		
LOW QUALITY PROTEIN: F-box/kelch-repeat protein At1g16250-like	proper		
Phage Gp37Gp68 family protein	proper		
Kelch like family member 22	proper		
RimK-like ATP-grasp domain family	proper		
AMP-binding domain-containing protein	proper		
Conserved phage protein	uninformative		
DnaB domain-containing protein	proper		
Putative antirepressor-phage associated	proper		
SOS response-associated peptidase	proper		
Protein with a bacterial immunoglobulin-like domain protein	proper		
Putative truncated Chromosome (Plasmid) partitioning protein ParB	proper		
Unannotated	uninformative		
Type VI secretion system PAAR protein	proper		
Flagellar hook assembly protein FlgD	proper		
Motility accessory factor	proper		
Putative Transcriptional regulator, LysR family	proper		
Exonuclease SbcCD subunit D	proper		
Putative cI prophage repressor protein	proper		
DNA_pol3_beta domain-containing protein	proper		
Putative bacteriophage lysis protein (Modular protein)	proper		
aminopeptidase T-like	proper		
Bacteriophage Mu-like gp30 protein	proper		
DarT domain-containing protein	proper		
Fungal specific transcription factor	proper		
Unplaced genomic scaffold GYMLUscaffold_42, whole genome shotgun sequence	uninformative		
Bacteriophage variable tail fibre protein	proper		
Glutamine-dependent NAD(+) synthetase	proper		
Replication factor C subunit 4 isoform B	proper		
ATPase domain-containing protein	proper		
Orf251	uninformative		
O-acetyl-ADP-ribose deacetylase (Regulator of RNase III)	proper		
26S proteasome protein, macropain, putative	proper		
Putative Sodium/hydrogen antiporter	proper		
Putative phage antirepressor	proper		
COG1896: Predicted hydrolases of HD superfamily	proper		
Tubulin epsilon 1	proper		
SOS response-associated protein YedK	proper		
Putative sugar-phosphate adenylyltransferase	proper		
Bacteriophage tail completion-like protein	proper		
L-gulonate 5-dehydrogenase	proper		
Pyrroline-5-carboxylate reductase	proper		
Superfamily II DNA/RNA helicase	proper		
cell surface glycoprotein CD200 receptor 1-like isoform X2	proper		
Kelch-like protein 26 isoform B	proper		
UPF0200 protein Hbor_00950	proper		
DNA maturase B	proper		
GTPase IMAP family member 7	proper		
Pathogenesis-related transcriptional factor and ERF protein	proper		
BNR repeat-like domain	proper		
RNA polymerase factor sigma-70	proper		
Predicted nucleotidyltransferase	proper		
MazG nucleotide pyrophosphohydrolase	proper		
NUMOD1 domain protein	proper		
Monovalent cation:H+ antiporter-1, CPA1 family	proper		
Ubiquinone biosynthesis O-methyltransferase, mitochondrial	proper		
SbcD_C domain-containing protein	proper		
IS66 Orf2 family protein	proper		
DUF1553 domain-containing protein	low informative		
Trihelix transcription factor GT-1	proper		
Uncharacterized protein conserved in bacteria (DUF2213)	low informative		
5'-deoxynucleotidase FKM52_08980	proper		
Tail fiber protein, truncation	proper		
TYSY	proper		
DNA-directed RNA polymerase, mitochondrial	proper		
NADPH-nitrite reductase large subunit	proper		
Phage major capsid protein/ HK97 family	proper		
Putative chitin deacetylase	proper		
Generic methyltransferase	proper		
CD83 antigen-like protein	proper		
GIY-YIG_SF nuclease domain protein	proper		
Uncharacterized protein C16G5.07c	proper		
Minor capsid 2 protein	proper		
DNA-binding transcriptional regulator, LysR family	proper		
spermatogenesis-associated protein 5-like protein 1	proper		
Putative phage portal protein [coiled-coil domain]	proper		
DNA recombination protein RecA, chloroplast	proper		
GcrA cell cycle regulator	proper		
DNA repair protein RAD51 3	proper		
Threonine/homoserine efflux transporter RhtA	proper		
chromatin structure-remodeling complex subunit snf21-like	proper		
Putative DNA transposition protein	proper		
Ead domain protein	proper		
Cellulose 1,4-beta-cellobiosidase	proper		
DUF2271 domain-containing protein	low informative		
DNA recombination and repair protein Rad51	proper		
Phi ETA orf 55-like protein	proper		
DNA helicase PcrA	proper		
ATP-dependent dsDNA/ssDNA exodeoxyribonuclease V alpha	proper		
Membrane transport protein	proper		
Putative ATP/GTP-binding protein, MmyX	proper		
uncharacterized protein LOC107955876	uninformative		
Ribonuclease H-like protein	proper		
D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	proper		
Cell division protein FtsH homolog	proper		
Putative WD-40 repeat protein	proper		
Sortase, acyltransferase family	proper		
KLHL23 isoform 5	proper		
kelch domain-containing protein 3 isoform X3	proper		
DUF3820 family protein	low informative		
Putative phage virion protein	proper		
Ribonuclease h	proper		
Phosphopantetheine attachment site	proper		
Gene Transfer Agent capsid protein	proper		
Inter-alpha-trypsin inhibitor heavy chain 5	proper		
Phage tail completion protein	proper		
uncharacterized protein LOC114333225	uninformative		
HDc domain-containing protein	proper		
ATP-grasp domain protein	proper		
Kelch-like protein 9	proper		
Pyocin R2_PP, TraC domain protein	proper		
T4-like virus tail tube protein gp19	proper		
SWI/SNF family helicase	proper		
4-hydroxybenzoate decarboxylase	proper		
DUF4484 domain-containing protein	low informative		
tRNA(Met) cytidine acetyltransferase	proper		
Stress response protein, TerZ-and CABP1	proper		
Prophage ps3 protein 13	proper		
Inhibitor of the KinA pathway to sporulation predicted exonuclease	proper		
Adhesion G protein-coupled receptor B2	proper		
Thymidylate synthase 1	proper		
Prophage ps2 probable integrase	proper		
Tail fiber-like repeat protein	proper		
Core-binding (CB) domain-containing protein	proper		
ATP-dependent metallopeptidase HflB subfamily protein	proper		
Bacteriophage Mu transposase family protein	proper		
DNA or RNA helicases of superfamily II	proper		
Asphd1 protein	proper		
O-methyltransferase gedA	proper		
PREDICTED: staphylococcal nuclease	proper		
AAA-ATPase At4g25835-like	proper		
Chaperonin 60 subunit beta 4, chloroplastic	proper		
COL5AS	proper		
Di-and tripeptidases	proper		
Asparagine synthase (Glutamine-hydrolysing)	proper		
Zone occludens toxin	proper		
Radical SAM domain-containing-like	proper		
Putative phage holin	proper		
Voltage-gated potassium channel	proper		
Putative recombinase	proper		
tRNA (guanine-N(1)-)-methyltransferase	proper		
Collagen alpha-1 chain	proper		
Protein containing von Willebrand factor type A domain	proper		
Addiction module toxin, HicA family	proper		
T4_Gp59_C domain-containing protein	proper		
Conjugative relaxase-like TrwC/TraI family protein	proper		
Uncharacterized protein XF_1581/XF_1686	low informative		
ERCC6 protein	proper		
Group 2 bacterial Ig-like protein	proper		
Putative Deoxycytidylate deaminase	proper		
Dna ligase	proper		
Putative ParB partitioning protein	proper		
Spore-cortex-lytic enzyme, putative	proper		
CCT-alpha	proper		
Riboflavin-specific deaminase(Diaminohydroxyphosphoribosylaminopyrimidine deaminase)	proper		
Protein tyrosine phosphatase	proper		
Similar to arginine decarboxylase (Partial length)	proper		
Prohibitin-like protein	proper		
DNA repair protein MmcB-like protein	proper		
Deleted in lung and esophageal cancer protein 1	proper		
HSP90 family protein	proper		
Aste57867_3396 protein	proper		
Putative Rha-like protein	proper		
Putative tail assembly chaperone	proper		
Predicted membrane protein	low informative		
Putative N-glycosidase YbiA	proper		
Putative prophage CPS-53 integrase	proper		
AAA+ ATPase domain-containing protein	proper		
ABC-type spermidine/putrescine transport systems, ATPase components	proper		
Putative kinetoplastid-specific phospho-protein phosphatase	proper		
sodium/hydrogen exchanger 9-like isoform X3	proper		
YLPM1	proper		
Cysteine/Cysteine sulfinic acid decarboxylase	proper		
Putative HflC protein	proper		
Nucleoid-associated like protein	proper		
DUF4346 domain-containing protein	low informative		
Oxidoreductase 2OG-Fe(II) oxygenase family protein	proper		
DEAD/DEAH box helicase-like protein	proper		
Toxin-antitoxin system, antitoxin component, HicB family	proper		
SNF2 family DNA RNA helicase	proper		
DNA recombination protein RmuC	proper		
Ig group 2 domain-containing protein	proper		
DnaX protein	proper		
Bifunctional (P)ppGpp synthetase/guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase	proper		
RNase II stability modulator	proper		
Putative ATPase involved in DNA repair	proper		
Cell wall-associated hydrolases invasion-associated proteins	proper		
Phosphate starvation-inducible protein PhoH predicted ATPase	proper		
Type II secretory pathway, component ExeA (Predicted ATPase)	proper		
Virginiamycin B lyase	proper		
Bcs1-like protein	proper		
Putative baseplate protein	proper		
NadR type nicotinamide-nucleotide adenylyltransferase	proper		
Pentaxin	proper		
TNase-like domain-containing protein	proper		
PPCS	proper		
Mu-like prophage host-nuclease inhibitor protein Gam	proper		
Plasmid partition protein B	proper		
YMR087W	proper		
Integrase/recombinase, phage integrase family	proper		
Gp56	uninformative		
DUF3596 domain-containing protein	low informative		
Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase domain protein	proper		
Transcription regulatory protein SNF2	proper		
Carbamoyl-phosphate synthase small chain	proper		
Zinc metalloproteinase Mpr protein	proper		
PF14359 domain protein	proper		
DNA topoisomerase II beta, putative	proper		
Periplasmic copper-binding protein	proper		
Putative phosphoesterase (MutT family)	proper		
Acetyltransf_1	proper		
uncharacterized protein LOC113072104 isoform X1	proper		
Ricin B lectin	proper		
Transcriptional regulator protein, LysR family protein	proper		
DNA polymerase III sliding clamp (Beta) subunit, PCNA homolog	proper		
Bacteriophage terminase large subunit TerL	proper		
Transmembrane 131-like	proper		
Mo-co oxidoreductase dimerization domain-containing protein	proper		
Putative diamine acetyltransferase	proper		
Uncharacterized protein DUF4347	low informative		
Possible Viral (Superfamily 1) RNA helicase	proper		
GpU protein	proper		
Glutathione reductase, mitochondrial	proper		
RNA ligase/AAA domain containing protein, putative	proper		
Aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit A	proper		
Phage protein transfer agent-like protein	proper		
Beta-carotene oxygenase 1	proper		
DNA ligase ATP-dependent	proper		
Virulence associated protein	proper		
Heg13 CDS	proper		
prostaglandin reductase-3-like isoform X3	proper		
H2A histone family, member Y2	proper		
Serine/threonine-protein phosphatase 5	proper		
Phage late control D protein (GPD)	proper		
Acyl-homoserine lactone acylase QuiP	proper		
Putative dCMP deaminase family protein	proper		
Endo-N-acetylneuraminidase (Endo-N) (Endosialidase)	proper		
Eha	proper		
RHS repeat-associated protein	proper		
Asparagine synthetase (WbpS)	proper		
2-oxoacid ferredoxin oxidoreductase	proper		
Phage tail fibre protein	proper		
Conjugative transposon TraN protein	proper		
DNA polymerase I (EC)	proper		
uncharacterized protein LOC111277910	uninformative		
Cell cycle checkpoint control protein rad9a	proper		
Glutamine--fructose-6-phosphate transaminase (Isomerizing)	proper		
PAS domain S-box-containing protein	proper		
RyR domain	proper		
UvrD-like helicase family protein	proper		
4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase	proper		
Ribonucleoside-diphosphate reductase large chain, putative	proper		
Oxidoreductase, Gfo/Idh/MocA family	proper		
KCS2 protein	proper		
AAA_11 domain-containing protein	proper		
Helix-hairpin-helix DNA-binding motif-containing protein	proper		
Methyl-accepting chemotaxis protein YoaH	proper		
DNA repair protein recA 1, chloroplastic	proper		
TerD family protein	proper		
Uncharacterized LOC102195428	proper		
Putative bacteriophage protein homolog	proper		
Phage-related putative exported protein	proper		
Sigma-54 factor interaction domain-containing protein	proper		
KLHL19	proper		
MgsA AAA+ ATPase C-terminal domain protein	proper		
6-carboxytetrahydropterin synthase QueD	proper		
Ti-type conjugative transfer relaxase TraA	proper		
C26 family cysteine hydrolase domain-containing family	proper		
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase	proper		
Putative prohibitins and stomatins of the pid superfamily ovary overexpressed	proper		
DUF4406 domain-containing protein	low informative		
Threonine dehydratase	proper		
Putative 26S protease regulatory subunit 6A	proper		
Probable RNA polymerase sigma factor	proper		
NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding	proper		
Interleukin 1 receptor accessory protein-like 2	proper		
SmB protein	proper		
Kelch like family member 36	proper		
VWA-like protein	proper		
Kelch-like family member 20	proper		
Ftsk gamma domain-containing protein	proper		
Ras1-Scd pathway protein Ral2	proper		
Putative phage uncharacterized protein domain protein	proper		
IMP dehydrogenase	proper		
L-proline 3-hydroxylase protein	proper		
Basic-leucine zipper domain-containing protein	proper		
NAD_binding_4 domain-containing protein	proper		
Phage putative head morphogenesis protein, SPP1 gp7	proper		
TnsA endonuclease N-terminal domain-containing protein	proper		
DUF11 domain-containing protein	low informative		
Putative RecF/RecN/SMC N domain	proper		
Aspartyl/glutamyl-trna amidotransferase subunit b-related	proper		
Staphylocoagulase repeat protein	proper		
RPA2 polymerase	proper		
Phage O protein family	proper		
SM-20-related protein	proper		
AMP-binding protein	proper		
Molecular chaperone Hsp20	proper		
Phage regulatory protein	proper		
prostaglandin E synthase 2-like	proper		
Matrilin 4	proper		
Afp1	proper		
HTH domain protein	proper		
TSA: Wollemia nobilis Ref_Wollemi_Transcript_4152_2300 transcribed RNA sequence	proper		
NUMOD3 motif (2 copies)	proper		
Predicted metal-dependent protease of the PAD1/JAB1 superfamily	proper		
tRNA-uridine aminocarboxypropyltransferase	proper		
Polymerase III epsilon subunit protein	proper		
Histone deacetylase	proper		
Chromosome segregation ATPase from phage origin, putative coiled-coil	proper		
Peptidase_M56 domain-containing protein	proper		
Kelch motif domain-containing protein, putative	proper		
Cellulosome-anchoring protein	proper		
thymidine kinase 2, mitochondrial isoform X1	proper		
Protein transport protein HofQ	proper		
GM26794	proper		
Alginate_lyase2 domain-containing protein	proper		
Putative sporulation transcription regulator whiA domain protein	proper		
L-fucose:H+ symporter permease	proper		
Exonuclease V subunit alpha	proper		
ORC1-type DNA replication protein 1	proper		
RNR1 protein	proper		
Ser thr protein phosphatase superfamily protein	proper		
thioredoxin H4-1	proper		
Putative phage tail sheath protein	proper		
Short-chain dehydrogenase family oxidoreductase	proper		
DNA translocase FtsK 4TM domain-containing protein	proper		
6-carboxytetrahydropterin synthase	proper		
Top2 protein	proper		
MSHA pilin protein	proper		
RNA ligase domain, REL/Rln2	proper		
Putative phage cell wall hydrolase	proper		
ATP-dependent Clp protease ATP-binding subunit	proper		
uncharacterized protein LOC110769718	uninformative		
von willebrand factor type A	proper		
Conjugal transfer protein TraA	proper		
Putative AbiEi antitoxin of type IV toxin-antitoxin system	proper		
T4 RnlA family RNA ligase	proper		
Sialidase	proper		
EcoRII-C domain-containing protein	proper		
Translesion error-prone DNA polymerase V autoproteolytic subunit	proper		
Gp05 gene product	proper		
Spore coat assembly protein SafA	proper		
O-antigen polymerase	proper		
GatB/YqeY domain containing protein	proper		
P22 coat-protein 5 family protein	proper		
P4 family phage/plasmid primase-like protein	proper		
Thioredoxin related transmembrane protein 1	proper		
Helix-turn-helix domain-containing protein [Lactobacillus plantarum subsp. plantarum]	proper		
LADA_0A01838g1_1	proper		
Chaperonin 10-like protein	proper		
Rab9 effector with kelch motifs-like	proper		
Replication factor C (Activator 1) 5, 36.5kDa	proper		
AAA ATPase central protein	proper		
PP5 protein	proper		
Ethanolamine utilization protein EutQ (Cupin superfamily)	proper		
U-box domain-containing protein	proper		
Phage head morphogenesis, SPP1 gp7 family domain protein	proper		
Phage_base_V domain-containing protein	proper		
AAA-like domain protein	proper		
Putative chromatin associated protein kti12	proper		
Pom1	proper		
Acyl-CoA Binding Protein	proper		
GNAT family acetyltransferase YiiD	proper		
2'-deoxycytidine 5'-triphosphate deaminase (DCD)	proper		
N-acetylmuramoyl-L-alanine amidase family 2	proper		
2OG-FeII_Oxy_4 domain-containing protein	proper		
AAA domain	proper		
Betahydroxylase	proper		
Calcium uptake protein 1, mitochondrial	proper		
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase	proper		
DNA primase small subunit	proper		
VKc domain-containing protein	proper		
ribose-phosphate pyrophosphokinase 1-like	proper		
5-methyltetrahydrofolate-homocysteine methyltransferase	proper		
Penicillin amidase protein	proper		
KLTH0G18590p	proper		
Acylneuraminate cytidylyltransferase	proper		
ATPase associated with various cellular activities family protein	proper		
Uncharacterized prophage lcu4 related protein	proper		
SDR-family protein	proper		
VRR-NUC domain-containing	proper		
uncharacterized protein LOC113039511	uninformative		
PhnO protein	proper		
Fibropellin-3	proper		
Sulfurtransferase DndC, dndC	proper		
Putative Endonuclease	proper		
coadhesin isoform X7	proper		
DUF2235 domain-containing protein	low informative		
GIY endonuclease n1 TaxGibberella zeae PH-1 RepIDA5J043_GIBZE	proper		
Pyruvate dehydrogenase (acetyl-transferring)	proper		
asparagine synthetase [glutamine-hydrolyzing]-like isoform X1	proper		
Dolichyl-phosphate-mannose--protein mannosyltransferase	proper		
AraC family transcriptional regulator (Modular protein)	proper		
Putative metal-dependent hydrolase	proper		
ERLN1	proper		
DNA endonuclease I-CvuI	proper		
DNA helicase RecD	proper		
Uncharacterized phage-associated protein	uninformative		
HTH-type transcriptional regulator HdfR	proper		
Glutamine amidotransferase related protein enzyme	proper		
Swi snf matrix actin dependent regulator of subfamily member 1	proper		
Predicted MutS-related protein involved in mismatch repair	proper		
immunoglobulin superfamily member 8-like	proper		
O-acetyl-ADP-ribose deacetylase C6orf130	proper		
DnaB-like helicase protein	proper		
Beta-glucuronidase	proper		
Putative Thymidylate synthase (FAD) (ThyX)	proper		
ATP-dependent DNA helicase SCO5184	proper		
Putative transcriptional regulator IclR family	proper		
Cro/C1-type HTH DNA-binding domain-containing protein	proper		
Phage baseplate outer wedge protein (Acidic lysozyme), putative	proper		
Bacteriophage-like DNA-binding-containing protein	proper		
1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase	proper		
Glutamate decarboxylase	proper		
N-6 DNA methylase	proper		
Nuclease (SNase domain protein)	proper		
Phage associated protein	uninformative		
Por_Secre_tail domain-containing protein	proper		
ERCC excision repair 6, chromatin remodeling factor	proper		
BTB:POZ and BTB Kelch-associated and Kelch repeat type 1 domain containing protein	proper		
Chromodomain-helicase-DNA-binding protein, variant 2	proper		
KilA protein	proper		
Protein of uncharacterized function (DUF2634)	low informative		
Partial cell division protease FtsH	proper		
Putative portal protein (Phage)	proper		
Protein YigP	proper		
Putative GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase)	proper		
PcnB: poly(A)	proper		
6-phosphofructo-2-kinase	proper		
Major tail protein TP901-1	proper		
Putative surface protein, responsible for cell interaction	proper		
Highly reducing polyketide synthase FUM1	proper		
Xanthomonas adhesin-like protein A	proper		
Cox1-I3-orf316.CDS.1	proper		
von Willebrand factor	proper		
Phosphoesterase RecJ-like protein	proper		
DNA translocase FtsK 2	proper		
Riboflavin biosynthesis protein RibD domain-containing protein	proper		
Complement component 1, q subcomponent, A chain	proper		
Nucleolar protein c7c	proper		
CSON001617 protein	low informative		
Signal recognition particle	proper		
G patch domain and KOW motifs-containing protein-like	proper		
Chaperone of endosialidase family protein	proper		
GGDEF/EAL domain protein	proper		
Ribonucleoside-diphosphate reductase M2 subunit	proper		
Unplaced genomic scaffold SPHSTscaffold_34, whole genome shotgun sequence	uninformative		
Similar to ATPase WRNIP1 homolog C26H5.02c acc. no. O13984	proper		
Putative phage tail fiber assembly protein	proper		
WD40 repeat protein	proper		
Putative base plate assembly protein J	proper		
Conjugal transfer mating pair stabilization protein TraG	proper		
M2.BsrBI	proper		
Transcriptional antiterminator Rof (Rho-off)	proper		
Flagellum-specific peptidoglycan hydrolase FlgJ	proper		
Putative sensory transduction protein LytT	proper		
CO6A6	proper		
Hsp60 heat shock protein	proper		
Kelch-like family member 33	proper		
Lipoprotein nlpC	proper		
Winged helix-turn-helix DNA-binding	proper		
SprT family protein	proper		
Multifunctional acyl-CoA thioesterase I/protease I/lysophospholipasel(I)	proper		
Minor extracellular protease Epr	proper		
2',5' RNA ligase family	proper		
Putative baseplate protein, putative phage associated protein	proper		
Putative Transcriptional regulator, IclR family	proper		
Integrase family protein	proper		
Putative Pilus assembly protein CpaC	proper		
Protein bric-a-brac 1-like isoform x4	proper		
YadA C-terminal domain-containing protein	proper		
Putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1	proper		
uncharacterized protein LOC110744764	uninformative		
Cell surface receptor IPT/TIG domain protein	proper		
DNA-directed RNA polymerase I subunit rpa1	proper		
MVP_shoulder domain-containing protein	proper		
DUF2586 family protein	low informative		
Transglutaminase-like cysteine peptidase	proper		
HTH_30 domain-containing protein	proper		
HTH merR-type domain-containing protein	proper		
IPTL-CTERM domain-containing protein	proper		
Collagen alpha-1(XXI) chain	proper		
M15 family peptidase	proper		
Putative serine/threonine specific protein phosphatase	proper		
SOS-response repressor/protease	proper		
Tellurium resistance protein TerE	proper		
Putative serine/threonine-protein kinase PBL11	proper		
Immunoglobulin-binding protein from prophage P-EibA	proper		
Probable secretory protein	proper		
Putative nucleotidyltransferase with HDIG domain	proper		
Three prime repair exonuclease 2-like Protein	proper		
TPR domain-containing protein	proper		
ATP-dependent DNA helicase Snf21	proper		
SWI SNF-related matrix-associated actin-dependent regulator of chromatin-like protein	proper		
ComEB, Deoxycytidylate deaminase	proper		
kelch-like protein 1	proper		
Intein-containing elongation factor EF-2	proper		
Gp26	uninformative		
Zgc:92353	proper		
Uncharacterized phage related protein	uninformative		
5' nucleotidase	proper		
SMC family ATPase	proper		
Endonuclease YhcR	proper		
Linocin-M18	proper		
Pre-mRNA-splicing helicase BRR2	proper		
RmlC-like jelly roll fold	proper		
Bm5486	proper		
Formate acetyltransferase	proper		
Putative DNA binding, helix-turn-helix domain containing protein	proper		
Twinkle mtDNA helicase	proper		
Rab9 effector protein with kelch motifs-like isoform 1	proper		
Aspartokinase	proper		
Secretin_N domain-containing protein	proper		
Putative SNF2 family helicase/ATPase PasG	proper		
Integral membrane protein TerC family protein	proper		
Diguanylate cyclase DosC	proper		
ATPase central domain-containing protein (RfcL)	proper		
Protein containing TIR2 domain	proper		
PolyA polymerase	proper		
2OG-FeII_Oxy_2 domain-containing protein	proper		
AFG31	proper		
Phage-Associated Protein	uninformative		
Hemagglutinin-related protein	proper		
Desiccation-related protein At2g46140	proper		
Mitochondrial_DNA_polymerase_I_protein_C_-_putative	proper		
Putative Zn-finger protein	proper		
Myo-inositol 2-dehydrogenase like	proper		
Tyrosine recombinase XerD subunit	proper		
Aspartyl/asparaginyl beta-hydroxylase-like protein	proper		
Guanosine-3,5-bis(Diphosphate) 3-pyrophosphohydrolase	proper		
Copper amine oxidase-like protein	proper		
SAM-dependent methyltransferase, putative	proper		
CMP-N-acetylneuraminic acid synthetase	proper		
LTD domain-containing protein	proper		
Collagen alpha-1(X) chain	proper		
Germin-like protein	proper		
LytTr DNA-binding domain family	proper		
GGDEF domain-containing protein, diguanylate cyclase (C-di-GMP synthetase) or its enzymatically inactive variants	proper		
Putative C1q and tumor necrosis factor-related protein 2	proper		
kelch domain-containing protein 3-like	proper		
DNA repair protein SbcD/Mre11	proper		
Uncultured bacterium extrachromosomal DNA RGI00227	proper		
Proteasome beta subunit	proper		
TPR repeat-containing protein	proper		
Kelch domain containing 8A	proper		
Co-activator of prophage protein expression IbrA	proper		
Hydrolase alpha/beta domain protein	proper		
RFC2 isoform 4	proper		
Uncharacterized LOC108415664	proper		
Putative phage protein Gp10	uninformative		
Transcriptional activator TtdR	proper		
Riboflavin biosynthesis protein RibD	proper		
Radical SAM	proper		
Peptidase,M23/M37 family	proper		
GatB/YqeY domain protein	proper		
Kelch-like protein 31	proper		
Penicillin acylase family protein	proper		
RING finger family protein 4	proper		
DNA polymerase III subunit alpha	proper		
Mu DNA-binding domain-containing protein	proper		
ATP/GTP binding protein	proper		
Hypothetical surface-anchored protein	proper		
LAGLIDADG-2 homing endonuclease	proper		
protein PML isoform X2	proper		
Prophage transcriptional regulator	proper		
VPLPA-CTERM protein sorting domain-containing protein	proper		
Cytoplasmic protein	low informative		
Putative phage-related membrane protein	proper		
Acetyltransferase, GNAT family	proper		
Mu-like prophage protein gp29-like protein	proper		
Putative lysophospholipase L1-like arylesterase	proper		
Putative phage major capsid protein	proper		
Putative SNF2 domain-containing protein / helicase domain-containing protein	proper		
Immunoglobulin G-binding protein A	proper		
Putative ParB-like nuclease domain protein	proper		
Peptidase_S24 domain-containing protein	proper		
Protein involved in plasmid replication-relaxation	proper		
CPW-WPC domain-containing protein	proper		
Histone acetyltransferase HPA2 and related acetyltransferases	proper		
Intron-encoded RNA maturase bI4	proper		
Putative phage portal protein, lambda family	proper		
SRCR domain-containing protein	proper		
Putative tail fiber protein (GpH)	proper		
Actin cytoskeleton-regulatory complex protein SLA1	proper		
Glycine/betaine ABC transporter substrate-binding protein	proper		
Long tail fiber distal subunit	proper		
Reverse transcriptase (RNA-dependent DNA polymerase)	proper		
Chitinase (Modular protein)	proper		
Putative phage head morphogenesis protein SPP1 gp7 family	proper		
Putative tail fiber assembly protein	proper		
Prophage Clp protease-like protein	proper		
Replication factor C subunit 2	proper		
Partition protein, phage-associated	proper		
Modification methylase MjaI	proper		
dCMP deaminase / Late competence protein ComEB	proper		
Predicted P-loop ATPase and inactivated derivatives	proper		
DNA gyrase subunit A	proper		
P2 phage tail completion R family protein	proper		
PrfA protein	proper		
CLUMA_CG016543, isoform B	proper		
Glutathione synthase/ribosomal protein S6 modification enzyme Glutaminyl transferase	proper		
Carbohydrate binding family 6	proper		
DUF1320 family protein	low informative		
RNA_lig_T4_1 domain-containing protein	proper		
Pilus assembly protein PilQ	proper		
Colicin-D	proper		
Cytidine aminohydrolase	proper		
Chaperonin 1 60 kDa	proper		
DNA-cytosine methyltransferase	proper		
Pyocin, transcriptional repressor, CI/C2 family	proper		
Hypothetical nucleotide reductase	proper		
MiaB protein	proper		
Legionella vir region protein	proper		
Acetylxylan esterase	proper		
